date,DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2/29/16,0.003048603,-0.001287514,0.038878499,-0.007128805,0.087725011,0.100462202,-0.022801551,-0.003130981,-0.070440218,-0.013040808,0.060729269,-0.037703505,0.014672901,-0.053781642,0.004892819,-0.046067103,0.046380198,-0.009078366,-0.069789067,-0.006772912,-0.017110707,-0.017137992,0.004484343,0.034213121,0.110050832,-0.024275144,0.015209028,-0.005137774,-0.000301498,0.038888447
3/31/16,0.070752874,0.127210624,0.104713873,0.074124175,0.130576133,0.087471323,0.143336296,0.039677681,0.049822658,0.080919164,0.155842508,0.093274654,0.028419446,0.051864969,0.083973538,0.07244638,0.062217293,0.062993061,0.085495048,0.000624619,-0.001011402,0.025158769,0.091502719,0.086750362,0.036017374,0.056499748,0.066035993,0.067139498,0.040051703,0.042919636
4/29/16,0.005007087,-0.139921212,0.070794349,0.061919068,0.025317289,-0.025591631,0.071069303,0.039774359,0.045420062,0.003447535,-0.036381954,-0.063987469,0.035859619,0.07510837,-0.034274694,0.006444877,0.004500751,0.036477086,-0.097048685,-0.041158411,0.103576318,-0.018638862,-0.058349581,0.021566973,0.042657455,0.00993691,-0.048119223,-0.05887918,-0.02365294,0.057542788
5/31/16,0.000762848,0.071773117,0.00504363,-0.056535592,-0.067035531,0.056747777,-0.001099325,-0.039124514,-0.024229378,-0.008109936,0.073819644,0.052274292,0.012621167,0.032753048,-0.004464338,-0.035022569,0.012312204,0.025893661,0.070196874,-0.06311492,0.070337944,0.011482663,0.038580464,0.01511254,-0.02991429,0.023819296,-0.00078545,-0.019222038,0.066221503,0.015476588
6/30/16,0.00802774,-0.042659887,-0.071383141,0.029488702,0.045511267,-0.012392352,0.03792072,-0.014110096,-0.068347414,-0.0335301,-0.012748935,0.038303335,0.076404094,-0.04795469,0.024161987,-0.006844575,0.040399067,0.032354947,-0.034528517,0.002558189,0.014697299,0.044792595,0.049064061,0.061142952,0.019586274,-0.060425871,0.097053203,0.075839773,0.031647098,0.053022066
7/29/16,0.028011727,0.090062905,0.060895354,0.029183015,0.102193047,0.073828267,-0.022417183,-0.011991501,0.068852072,0.082622091,0.058242302,0.062804843,0.032398957,0.037463642,-0.037502782,-0.022353302,0.018501483,0.018225841,0.107680211,0.005434725,0.047713558,0.018781202,-0.023689738,0.014164239,0.049731779,0.052312431,0.002317267,-0.048276566,-0.000684601,-0.0510988
8/31/16,-0.001701333,0.023651954,0.01737502,-0.023471854,-0.009787422,0.029806834,-0.008198783,-0.015528804,0.071233826,-0.024827974,-0.002290028,0.037350837,-0.040676117,0.055182165,-0.004583791,-0.009274221,0.011195756,0.070405768,0.020080052,0.038558547,-0.048813099,0.020095781,0.021425113,-0.049929799,-0.005318985,0.038314085,-0.055585707,0.023056068,-0.014265468,-0.011994508
9/30/16,-0.005039458,0.065504235,-0.023482536,0.017690233,0.083221561,0.008905875,0.023265019,-0.016938425,-0.048329979,-0.040560886,-0.000188519,0.05182492,-0.010138822,-0.013481701,-0.017597392,-0.002593957,-0.01679318,0.001236644,0.002436467,-0.081518847,-0.026724327,0.027946552,-0.02959299,0.033785011,-0.045381978,0.022249544,-0.006688318,-0.001115097,0.009518372,0.001606662
10/31/16,-0.009052278,0.00433421,0.042383378,0.081144688,-0.051518303,-0.024793598,0.017780766,-0.001830822,0.105227438,-0.051833967,-0.032483627,-0.076291425,-0.018115778,0.047657083,0.001890405,-0.024185129,-0.06202117,-0.059125136,0.040277676,-0.046913539,-0.063773186,-0.025407995,-0.055608975,0.009500074,0.005905452,-0.002297374,-0.064100063,0.026172231,-0.029118114,-0.045371591
11/30/16,0.054080997,-0.021600843,0.08461313,0.073426603,0.144979449,-0.028031233,0.075673814,0.06937127,0.234120789,0.06620023,0.065077001,0.002659197,-0.033803519,0.157522282,-0.040303807,0.067757701,0.045620559,0.042064028,0.012468203,-0.002192089,0.023669071,-0.04999994,0.047790517,0.124675599,0.060511968,-0.060929449,0.037422041,0.028894078,0.00585545,0.057045717
