PERMNO,date,TICKER,PRC
90805,20181231,DISCA,24.74
90808,20130131,EXPE,65.25
90808,20130228,EXPE,63.9
90808,20130328,EXPE,60.015
90808,20130430,EXPE,55.84
90808,20130531,EXPE,57.51
90808,20130628,EXPE,60.15
90808,20130731,EXPE,47.13
90808,20130830,EXPE,46.76
90808,20130930,EXPE,51.81
90808,20131031,EXPE,58.965
90808,20131129,EXPE,63.69
90808,20131231,EXPE,69.66
90808,20140131,EXPE,64.98
90808,20140228,EXPE,78.53
90808,20140331,EXPE,72.5
90808,20140430,EXPE,70.99
90808,20140530,EXPE,73.3
90808,20140630,EXPE,78.76
90808,20140731,EXPE,79.42
90808,20140829,EXPE,85.9
90808,20140930,EXPE,87.62
90808,20141031,EXPE,84.97
90808,20141128,EXPE,87.11
90808,20141231,EXPE,85.36
90808,20150130,EXPE,85.93
90808,20150227,EXPE,91.75
90808,20150331,EXPE,94.13
90808,20150430,EXPE,94.23
90808,20150529,EXPE,107.26
90808,20150630,EXPE,109.35
90808,20150731,EXPE,121.44
90808,20150831,EXPE,114.99
90808,20150930,EXPE,117.68
90808,20151030,EXPE,136.3
90808,20151130,EXPE,123.11
90808,20151231,EXPE,124.3
90808,20160129,EXPE,101.04
90808,20160229,EXPE,104.11
90808,20160331,EXPE,107.82
90808,20160429,EXPE,115.77
90808,20160531,EXPE,111.24
90808,20160630,EXPE,106.3
90808,20160729,EXPE,116.65
90808,20160831,EXPE,109.12
90808,20160930,EXPE,116.72
90808,20161031,EXPE,129.23
90808,20161130,EXPE,124.05
90808,20161230,EXPE,113.28
90808,20170131,EXPE,121.59
90808,20170228,EXPE,119.04
90808,20170331,EXPE,126.17
90808,20170428,EXPE,133.72
90808,20170531,EXPE,143.78
90808,20170630,EXPE,148.95
90808,20170731,EXPE,156.47
90808,20170831,EXPE,148.36
90808,20170929,EXPE,143.94
90808,20171031,EXPE,124.66
90808,20171130,EXPE,122.5
90808,20171229,EXPE,119.77
90808,20180131,EXPE,128.00999
90808,20180228,EXPE,105.17
90808,20180329,EXPE,110.41
90808,20180430,EXPE,115.14
90808,20180531,EXPE,121.03
90808,20180629,EXPE,120.19
90808,20180731,EXPE,133.84
90808,20180831,EXPE,130.5
90808,20180928,EXPE,130.48
90808,20181031,EXPE,125.43
90808,20181130,EXPE,120.79
90808,20181231,EXPE,112.65
